MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name
05,UTTARAKHAND,000,UTTARAKHAND,00000,UTTARAKHAND,000000,UTTARAKHAND
05,UTTARAKHAND,056,Uttarkashi,00000,Uttarkashi,000000,Uttarkashi
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,000000,Puraula
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040101,Bestiwalli
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040102,Besti Palli
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040103,Rama Gaon
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040104,Raun
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040105,Gundiyar Gaon
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040106,Nagjhala
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040107,Pora
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040108,Sukdala
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040109,Moltari Rajputonki
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040110,Dhikal Gaon
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040111,Dokhariyani
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040112,Syaluka
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040113,Sar Gaon
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040114,Kaslaun
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040115,Lewtari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040116,Digari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040117,Kimdar
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040118,Chhanika
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040119,Paunti
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040120,Gaul
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040121,Kurara
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040122,Chhara
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040123,Angora
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040124,Shreekot
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040125,Dhundada
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040126,Dhyoralagasunali
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040127,Suranukiseri
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040128,Dhyoralagakhadkyasem
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040129,Sunali
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040130,Bhadrali
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040131,Kharkyasem
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040132,Kumarkot
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040133,Moltari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040134,Dhampur
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040135,Koti
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040136,Devdhung
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040137,Chhiwala
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040138,Khablisera
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040139,Purola
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040140,Makhana
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040141,Molkat
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040142,Pujeli (Brahmanoki)
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040143,Kumola
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040144,Korana
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040145,Nauri
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040146,Thakrari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040147,Lamkoti
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040148,Math
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040149,Puseli
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040150,Kandiyal Gaon
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040151,Mahargaon
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040152,Dokhari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040153,Kufara
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040154,Dukra
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040155,Rateri
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040156,Mairiyara
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040157,Dhakaraa
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040158,Shikaru
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040159,Karara  (Kurura)
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040160,Darmara
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040161,Chaptari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040162,Khalari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040163,Netri
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040164,Pujeli(Khalari)
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040165,Chandeli
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040166,Sweel
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040167,Saundari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040168,Thadung
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040169,Narasakhal Matiyalaur
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040170,Kamra
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040171,Bingadhera Talla
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040172,Bingadhera Malla
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040173,Gaind
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040174,Hudoli
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040175,Pani Gaon
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040176,Naladi
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040177,Binai
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040178,Kantari
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040179,Bhankoli
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040180,Chhamrotta
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040181,Thali
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040182,Bandiyar
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040183,Purola Range
05,UTTARAKHAND,056,Uttarkashi,00278,Puraula,040184,Bhankoli 
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,000000,Mori
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040185,Kiranu
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040186,Duchanu
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040187,Jagta
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040188,Chiwan
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040189,Thapali
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040190,Monda
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040191,Balawate
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040192,Adasu
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040193,Dhara
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040194,Barnali
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040195,Gokul
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040196,Jhotari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040197,Dagoli
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040198,Makuri
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040199,Arakot
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040200,Damti Thunara
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040201,Kalich
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040202,Maijyani
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040203,Bhutanu
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040204,Gamri
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040205,Kirauli
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040206,Pawlee
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040207,Begal
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040208,Kukrera
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040209,Bhankwar
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040210,Dewti
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040211,Thalee
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040212,Bamsu
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040213,Odata
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040214,Saransh
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040215,Petri
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040216,Sewa
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040217,Gawalgaun
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040218,Masari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040219,Khanna
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040220,Wari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040221,Halywari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040222,Doni
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040223,Satta
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040224,Bhitri
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040225,Dewal
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040226,Pujeli
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040227,Khanyasani
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040228,Kotgaon
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040229,Sidri
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040230,Sankari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040231,Saur
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040232,Sirga
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040233,Panw Malla
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040234,Panw Talla
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040235,Saturi
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040236,Sunkundi
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040237,Jakhol
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040238,Sauni
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040239,Dhara
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040240,Fitari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040241,Regcha
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040242,Kasla
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040243,Rala
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040244,Liwari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040245,Gangar
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040246,Dhatmeer
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040247,Pawani
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040248,Osala
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040249,Mautar
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040250,Salra
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040251,Bainol
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040252,Nuranu
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040253,Kalap
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040254,Naitwar
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040255,Gainchwan Gaon
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040256,Dewara
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040257,Gurari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040258,Pasa
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040259,Nanai
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040260,Nitusa
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040261,Bigsari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040262,Dobhal Gaon
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040263,Kharsari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040264,Danda Gaon
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040265,Ramal Gaon
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040266,Khedmi
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040267,Devjani
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040268,Jewanu
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040269,Kamra
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040270,Kunara
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040271,Ludrala
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040272,Pokhri
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040273,Paisar
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040274,Suchan Gaon
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040275,Dargar Gaon
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040276,Haltari
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040277,Kotigad Range
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040278,Devta Range
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040279,Sandra Range
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040280,Rupin Range
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040281,Sankari Range
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040282,Supin Range
05,UTTARAKHAND,056,Uttarkashi,00279,Mori,040283,Singtur Range
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,000000,Rajgarhi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040284,Dhonsali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040285,Jakhali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040286,Ghund
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040287,Kotala
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040288,Biyali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040289,Nald
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040290,Nathergaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040291,Kur
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040292,Gaul Banal
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040293,Sisala
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040294,Gair-Banal
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040295,Bakhreti
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040296,Arun
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040297,Ghandala
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040298,Thanki
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040299,Koti Banal
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040300,Bisatgaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040301,Chhatari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040302,Bhani
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040303,Gulari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040304,Jhumrada
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040305,Delda
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040306,Bigrari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040307,Kanda
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040308,Karnali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040309,Jestari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040310,Pauri
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040311,Gadoli
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040312,Sinna
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040313,Kuni
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040314,Irak
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040315,Sirak
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040316,Dharali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040317,Rajgarhi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040318,Dakhyat Gaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040319,Kwal Gaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040320,Gonna
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040321,Chheti
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040322,Kuninda
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040323,Danda Gaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040324,Sunaldi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040325,Sarnaul
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040326,Chaptari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040327,Bachangaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040328,Basrali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040329,Patangani
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040330,Koti Manpa
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040331,Gangtari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040332,Fari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040333,Khand
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040334,Masalgaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040335,Sukan
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040336,Kursil
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040337,Kisala
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040338,Phool Dhar
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040339,Syalab
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040340,Gaul Thakral
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040341,Nagargaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040342,Than
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040343,Massu
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040344,Palar
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040345,Kuthar
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040346,Rana
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040347,Durbil
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040348,Banas
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040349,Beef
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040350,Kharsali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040351,Nisari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040352,Bariya
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040353,Dangurgaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040354,Pindki Madesh
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040355,Bajari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040356,Kunshala
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040357,Trikhali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040358,Kupra
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040359,Pali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040360,Pujargaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040361,Kuthnaur
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040362,Halna
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040363,Khanera
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040364,Syalna
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040365,Bhansari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040366,Nandgaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040367,Chhatanga
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040368,Dandalgaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040369,Barkot
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040370,Sara
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040371,Chakragaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040372,Uprari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040373,Molda
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040374,Paunthi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040375,Kanseru
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040376,Kisna
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040377,Tunalka
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040378,Bhatiya
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040379,Khansi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040380,Balari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040381,Paletha
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040382,Bagasu
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040383,Kotiyal Gaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040384,Kansola
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040385,Manjyali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040386,Sunara
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040387,Mungra
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040388,Muradi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040389,Sapeta
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040390,Naugaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040391,Matiyali
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040392,Sauli
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040393,Dhari Walli
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040394,Kwari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040395,Bingsi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040396,Naini
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040397,Pisaun
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040398,Kimi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040399,Rastari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040400,Billagaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040401,Kandaun
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040402,Jarida
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040403,Biruntha
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040404,Tinya
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040405,Kalogi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040406,Himrola
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040407,Kafanaul
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040408,Tholiyunka
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040409,Dhari Palli
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040410,Naryunka
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040411,Manar Gaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040412,Chhuri
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040413,Tera
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040414,Kunwa
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040415,Bajlari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040416,Pamari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040417,Khabla
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040418,Semalsari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040419,Paluka
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040420,Darsaun
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040421,Gair
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040422,Kufan
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040423,Barnigad
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040424,Nisari
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040425,Barnigad Khatal
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040426,Garh
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040427,Bijori
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040428,Phiphiyara
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040429,Singuni
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040430,Bhaunti
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040431,Dewal
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040432,Nyuri
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040433,Kaslana
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040434,Sarnachak
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040435,Chopara
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040436,Phuwan Gaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040437,Gatu
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040438,Godin
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040439,Darogi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040440,Bursi
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040441,Kewalgaon
05,UTTARAKHAND,056,Uttarkashi,00280,Rajgarhi,040442,Jandgon
