MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name
13,NAGALAND,000,NAGALAND,00000,NAGALAND,000000,NAGALAND
13,NAGALAND,261,Mon,00000,Mon,000000,Mon
13,NAGALAND,261,Mon,01744,Naginimora,000000,Naginimora
13,NAGALAND,261,Mon,01744,Naginimora,266967,Tiru (Lower)
13,NAGALAND,261,Mon,01744,Naginimora,266968,Tiru (Upper)
13,NAGALAND,261,Mon,01744,Naginimora,266969,Namthai
13,NAGALAND,261,Mon,01744,Naginimora,266970,Hotahoti
13,NAGALAND,261,Mon,01744,Naginimora,266971,Mahung (UR)
13,NAGALAND,261,Mon,01744,Naginimora,266972,Kongon
13,NAGALAND,261,Mon,01745,Tizit,000000,Tizit
13,NAGALAND,261,Mon,01745,Tizit,266973,Laokhun
13,NAGALAND,261,Mon,01745,Tizit,266974,Tingalibam (Sakho)
13,NAGALAND,261,Mon,01745,Tizit,266975,Yanpan
13,NAGALAND,261,Mon,01745,Tizit,266976,Tela
13,NAGALAND,261,Mon,01745,Tizit,266977,Tizit Hq
13,NAGALAND,261,Mon,01745,Tizit,266978,Tekun (UR)
13,NAGALAND,261,Mon,01745,Tizit,266979,Lapa
13,NAGALAND,261,Mon,01745,Tizit,266980,Lapalampong (UR)
13,NAGALAND,261,Mon,01745,Tizit,266981,Longlem
13,NAGALAND,261,Mon,01745,Tizit,266982,Tizit Village
13,NAGALAND,261,Mon,01745,Tizit,266983,Tekang (UR)
13,NAGALAND,261,Mon,01745,Tizit,266984,Old Sangsa (UR)
13,NAGALAND,261,Mon,01745,Tizit,266985,Sangsa
13,NAGALAND,261,Mon,01745,Tizit,266986,Ngangtan (UR)
13,NAGALAND,261,Mon,01745,Tizit,266987,Ngangting
13,NAGALAND,261,Mon,01745,Tizit,266988,Zakho
13,NAGALAND,261,Mon,01746,Hunta,000000,Hunta
13,NAGALAND,261,Mon,01746,Hunta,266989,Nokzang
13,NAGALAND,261,Mon,01746,Hunta,266990,Joboka
13,NAGALAND,261,Mon,01746,Hunta,266991,Neitong
13,NAGALAND,261,Mon,01746,Hunta,266992,Hunta Hq
13,NAGALAND,261,Mon,01746,Hunta,266993,Yannyu Laishan (UR)
13,NAGALAND,261,Mon,01746,Hunta,266994,Laokhu
13,NAGALAND,261,Mon,01746,Hunta,266995,Old Jaboka (UR)
13,NAGALAND,261,Mon,01746,Hunta,266996,Longting
13,NAGALAND,261,Mon,01746,Hunta,266997,Nokyan
13,NAGALAND,261,Mon,01746,Hunta,266998,Yannyu
13,NAGALAND,261,Mon,01747,Shangnyu,000000,Shangnyu
13,NAGALAND,261,Mon,01747,Shangnyu,266999,Zangkham Tingsa 
13,NAGALAND,261,Mon,01747,Shangnyu,267000,Zangkham
13,NAGALAND,261,Mon,01747,Shangnyu,267001,Nyasha
13,NAGALAND,261,Mon,01747,Shangnyu,267002,Shangnyu
13,NAGALAND,261,Mon,01747,Shangnyu,267003,Longpho
13,NAGALAND,261,Mon,01748,Mon Sadar,000000,Mon Sadar
13,NAGALAND,261,Mon,01748,Mon Sadar,267004,Oting
13,NAGALAND,261,Mon,01748,Mon Sadar,267005,Tekuk (UR)
13,NAGALAND,261,Mon,01748,Mon Sadar,267006,Wangla
13,NAGALAND,261,Mon,01748,Mon Sadar,267007,Goching
13,NAGALAND,261,Mon,01748,Mon Sadar,267008,Tuimei
13,NAGALAND,261,Mon,01748,Mon Sadar,267009,Phuktong
13,NAGALAND,261,Mon,01748,Mon Sadar,267010,Lampongsheanghah
13,NAGALAND,261,Mon,01748,Mon Sadar,267011,Hongphoi
13,NAGALAND,261,Mon,01748,Mon Sadar,267012,Pongkong
13,NAGALAND,261,Mon,01748,Mon Sadar,267013,Longkai
13,NAGALAND,261,Mon,01748,Mon Sadar,267014,Leangnyu
13,NAGALAND,261,Mon,01748,Mon Sadar,267015,Mon Village
13,NAGALAND,261,Mon,01748,Mon Sadar,267016,Leangha
13,NAGALAND,261,Mon,01748,Mon Sadar,267017,Chui
13,NAGALAND,261,Mon,01748,Mon Sadar,267018,Totokchingnyu
13,NAGALAND,261,Mon,01748,Mon Sadar,267019,Totok Chinglem (UR)
13,NAGALAND,261,Mon,01748,Mon Sadar,267020,Totokchingha
13,NAGALAND,261,Mon,01748,Mon Sadar,267021,Totokchingkho
13,NAGALAND,261,Mon,01749,Wakching,000000,Wakching
13,NAGALAND,261,Mon,01749,Wakching,267022,Tanhai
13,NAGALAND,261,Mon,01749,Wakching,267023,Wakching Hq
13,NAGALAND,261,Mon,01749,Wakching,267024,Shiyong
13,NAGALAND,261,Mon,01749,Wakching,267025,Lampong Wakching (UR)
13,NAGALAND,261,Mon,01749,Wakching,267026,Wakching 
13,NAGALAND,261,Mon,01749,Wakching,267027,Wakching Chingla Vill.
13,NAGALAND,261,Mon,01749,Wakching,267028,Wanching
13,NAGALAND,261,Mon,01749,Wakching,267029,Chingtang
13,NAGALAND,261,Mon,01749,Wakching,267030,Chingphoi
13,NAGALAND,261,Mon,01750,Aboi,000000,Aboi
13,NAGALAND,261,Mon,01750,Aboi,267031,Chinglong
